epoch,itr,loss,maskA,maskB,time_ms
1,314,0.03074,29.00000,35.00000,1109
1,315,0.03068,27.00000,37.00000,1068
1,316,0.03063,30.00000,34.00000,3616
1,317,0.03057,26.00000,38.00000,1015
1,318,0.03051,35.00000,29.00000,1161
1,319,0.03045,30.00000,34.00000,3610
1,320,0.03040,27.00000,37.00000,1049
1,321,0.03034,28.00000,36.00000,1057
1,322,0.03028,30.00000,34.00000,3092
1,323,0.03022,36.00000,28.00000,1658
1,324,0.03017,32.00000,32.00000,1146
1,325,0.03011,31.00000,33.00000,1135
1,326,0.03006,25.00000,39.00000,999
1,327,0.03000,29.00000,35.00000,1106
1,328,0.02994,37.00000,27.00000,3706
1,329,0.02989,26.00000,38.00000,1014
1,330,0.02983,26.00000,38.00000,1015
1,331,0.02978,33.00000,31.00000,3686
1,332,0.02972,37.00000,27.00000,1182
1,333,0.02967,37.00000,27.00000,1180
1,334,0.02961,26.00000,38.00000,3539
1,335,0.02956,29.00000,35.00000,1096
1,336,0.02951,28.00000,36.00000,1056
1,337,0.02946,28.00000,36.00000,3592
1,338,0.02941,37.00000,27.00000,1179
1,339,0.02935,35.00000,29.00000,1154
1,340,0.02930,37.00000,27.00000,1182
1,341,0.02925,27.00000,37.00000,1062
1,342,0.02920,30.00000,34.00000,1092
1,343,0.02915,35.00000,29.00000,3649
1,344,0.02910,33.00000,31.00000,1149
1,345,0.02905,26.00000,38.00000,1023
1,346,0.02900,26.00000,38.00000,1026
1,347,0.02895,35.00000,29.00000,1177
1,348,0.02890,27.00000,37.00000,2950
1,349,0.02886,28.00000,36.00000,1673
1,350,0.02881,30.00000,34.00000,1094
1,351,0.02876,27.00000,37.00000,2095
1,352,0.02872,32.00000,32.00000,2617
1,353,0.02866,29.00000,35.00000,1103
1,354,0.02861,35.00000,29.00000,1173
1,355,0.02857,35.00000,29.00000,1172
1,356,0.02852,29.00000,35.00000,1105
1,357,0.02846,36.00000,28.00000,3677
1,358,0.02842,29.00000,35.00000,1099
1,359,0.02837,38.00000,26.00000,1220
1,360,0.02832,32.00000,32.00000,3650
